,Gender,Age,Height,Built,State,District,Area,Railway
1011,MALE,13,122.0,3,DELHI,UTTAM NAGAR,WEST,False
1012,MALE,60,153.0,2,DELHI,NEW DELHI RLY. STN.,CENTRAL,True
1013,MALE,31,153.0,3,DELHI,KALYANPURI,EAST,False
1014,MALE,18,122.0,3,DELHI,DWARKA NORTH,SOUTH WEST,False
1015,MALE,45,153.0,5,DELHI,NEW DELHI RLY. STN.,CENTRAL,True
1016,MALE,35,153.0,3,DELHI,LODI COLONY,SOUTH,False
1017,MALE,65,153.0,3,DELHI,NARAINA,SOUTH WEST,True
1018,MALE,48,153.0,3,DELHI,RANI BAGH,NORTH WEST,False
1019,MALE,41,153.0,5,DELHI,SUBZI MANDI,NORTH,True
1020,MALE,16,153.0,3,DELHI,SEEMAPURI,NORTH EAST,False
1021,MALE,46,153.0,3,DELHI,KHAJURI KHAS,NORTH EAST,False
1022,MALE,18,122.0,3,DELHI,NABI KARIM,CENTRAL,False
1023,MALE,21,153.0,2,DELHI,BADARPUR,SOUTH EAST,False
1024,MALE,13,153.0,2,DELHI,MUNDKA,WEST,False
1025,MALE,46,153.0,5,DELHI,JAIT PUR,SOUTH EAST,False
1026,MALE,15,122.0,3,DELHI,JAHANGIR PURI,NORTH WEST,False
1027,MALE,22,153.0,3,DELHI,RANI BAGH,NORTH WEST,False
1028,MALE,20,153.0,2,DELHI,SHALIMAR BAGH,NORTH WEST,False
1029,MALE,28,153.0,2,DELHI,SHALIMAR BAGH,NORTH WEST,False
1030,MALE,27,153.0,3,DELHI,NEW ASHOK NAGAR,EAST,False
1031,MALE,53,153.0,3,DELHI,GREATER KAILASH,SOUTH EAST,False
1032,MALE,17,153.0,2,DELHI,RANHOLA,WEST,False
1033,MALE,17,153.0,3,DELHI,SHAHDARA,NORTH EAST,False
1034,MALE,24,153.0,3,DELHI,IGI AIRPORT METRO,CENTRAL,True
1035,MALE,15,153.0,2,DELHI,KARAWAL NAGAR,NORTH EAST,False
1036,MALE,10,122.0,3,DELHI,BARAKHAMBA ROAD,CENTRAL,False
1037,MALE,40,153.0,3,DELHI,BINDA PUR,SOUTH WEST,False
